Sun Feb 24 18:07:46 2019    /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/PEF/profiling/results.txt

         960982 function calls (955396 primitive calls) in 18.116 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/Crypto/Random/_UserFriendlyRNG.py:156(_LockingUserFriendlyRNG)
     1278    0.002    0.000    0.004    0.000 /usr/lib/python3.5/asyncio/events.py:630(get_event_loop)
       48    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/pymysql/charset.py:40(by_name)
        1    0.000    0.000    0.000    0.000 byewait/src/services/credencialesService.py:18(CredencialesService)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/x509/oid.py:180(AuthorityInformationAccessOID)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/__future__.py:78(_Feature)
        3    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/httpserver.py:172(configurable_base)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/email/parser.py:80(BytesParser)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/asyncio/unix_events.py:52(_socketpair)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/Crypto/__init__.py:42(<module>)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/codecs.py:93(__new__)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py:165(SECT571K1)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/threading.py:332(notify)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/web.py:3097(_UIModuleNamespace)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/pymysql/err.py:15(Error)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/selectors.py:79(BaseSelector)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/netutil.py:418(ThreadedResolver)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/hazmat/primitives/ciphers/algorithms.py:76(Blowfish)
        1    0.000    0.000    0.000    0.000 {built-in method _openssl.ENGINE_by_id}
        1    0.000    0.000    0.040    0.040 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/hazmat/backends/openssl/backend.py:5(<module>)
     1453    0.004    0.000    0.007    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/pymysql/connections.py:481(__init__)
       24    0.000    0.000    2.358    0.098 byewait/src/handlers/registerHandler.py:28(post)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/hazmat/primitives/ciphers/modes.py:57(ModeWithAuthenticationTag)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/netutil.py:80(bind_sockets)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/asn1crypto/keys.py:329(NamedCurve)
